#START	STOP	LABEL			COLOUR
323406	387383	surfactin		red
924042	965286	butirosin		red
1050165	1067573	regiao3			blue
1188553	1217440	regiao4			blue
1384047	1471873	macrolactin 	red
1691394	1791959	bacillaene		red
1865682	1999991	fengycin		red
2028629	2050512	regiao8			blue
2113830	2154930	regiao9			blue
2282301	2376092	difficidin		red
3000753	3052541	bacillibactin	red
3588840	3630258	bacilysin		red
