#START	STOP	LABEL	COLOUR
317192	36898	Bacillibactin	red
993867	1086226	Difficidin	red
1214861	1255587	Regiao3		blue
1320927	1341053	Regiao4		blue
1369790	1504100	Fengycin	red
1577843	1678408	Bacillaene	red
1897595	1985828	Macrolactin	red
2152391	2181279	Regiao8		blue
2301772	2322512	Regiao9		blue
2404556	2445800	Butirosin	red
2982249	3047656	Surfactin	red
3669251	3710669	Bacilysin	red
