OrthoANI values calculated from the OAT software.  Please cite Lee et al. 2015.

Genome 1,Genome 2,OrthoANI value (%)
Bacillus sp RZ2MS9,Bacillus velezensis AG75,66.6038,
Bacillus sp RZ2MS9,Bacillus velezensis FZB42,66.6844,
Bacillus sp RZ2MS9,Bacillus velezensis HNA3,66.4792,
Bacillus sp RZ2MS9,Bacillus velezensis LABIM22,66.4586,
Bacillus sp RZ2MS9,Bacillus velezensis LABIM40,66.5249,
Bacillus sp RZ2MS9,Bacillus velezensis LABIM44,66.5711,
Bacillus sp RZ2MS9,Bacillus velezensis LDO2,66.5749,
Bacillus sp RZ2MS9,Bacillus velezensis S141,66.5257,
Bacillus sp RZ2MS9,Bacillus velezensis SQR9,66.6458,
Bacillus velezensis AG75,Bacillus velezensis FZB42,98.958,
Bacillus velezensis AG75,Bacillus velezensis HNA3,98.2252,
Bacillus velezensis AG75,Bacillus velezensis LABIM22,98.3063,
Bacillus velezensis AG75,Bacillus velezensis LABIM40,99.9908,
Bacillus velezensis AG75,Bacillus velezensis LABIM44,98.9549,
Bacillus velezensis AG75,Bacillus velezensis LDO2,98.2604,
Bacillus velezensis AG75,Bacillus velezensis S141,99.1337,
Bacillus velezensis AG75,Bacillus velezensis SQR9,98.4141,
Bacillus velezensis FZB42,Bacillus velezensis HNA3,98.2673,
Bacillus velezensis FZB42,Bacillus velezensis LABIM22,98.2817,
Bacillus velezensis FZB42,Bacillus velezensis LABIM40,98.9165,
Bacillus velezensis FZB42,Bacillus velezensis LABIM44,98.9066,
Bacillus velezensis FZB42,Bacillus velezensis LDO2,98.3075,
Bacillus velezensis FZB42,Bacillus velezensis S141,98.7981,
Bacillus velezensis FZB42,Bacillus velezensis SQR9,98.4597,
Bacillus velezensis HNA3,Bacillus velezensis LABIM22,98.1166,
Bacillus velezensis HNA3,Bacillus velezensis LABIM40,98.2566,
Bacillus velezensis HNA3,Bacillus velezensis LABIM44,98.3025,
Bacillus velezensis HNA3,Bacillus velezensis LDO2,99.9901,
Bacillus velezensis HNA3,Bacillus velezensis S141,98.1803,
Bacillus velezensis HNA3,Bacillus velezensis SQR9,98.8093,
Bacillus velezensis LABIM22,Bacillus velezensis LABIM40,98.2464,
Bacillus velezensis LABIM22,Bacillus velezensis LABIM44,98.2173,
Bacillus velezensis LABIM22,Bacillus velezensis LDO2,98.1763,
Bacillus velezensis LABIM22,Bacillus velezensis S141,98.2588,
Bacillus velezensis LABIM22,Bacillus velezensis SQR9,98.1946,
Bacillus velezensis LABIM40,Bacillus velezensis LABIM44,98.9421,
Bacillus velezensis LABIM40,Bacillus velezensis LDO2,98.2121,
Bacillus velezensis LABIM40,Bacillus velezensis S141,99.1428,
Bacillus velezensis LABIM40,Bacillus velezensis SQR9,98.4189,
Bacillus velezensis LABIM44,Bacillus velezensis LDO2,98.2539,
Bacillus velezensis LABIM44,Bacillus velezensis S141,98.8378,
Bacillus velezensis LABIM44,Bacillus velezensis SQR9,98.2664,
Bacillus velezensis LDO2,Bacillus velezensis S141,98.2354,
Bacillus velezensis LDO2,Bacillus velezensis SQR9,98.7807,
Bacillus velezensis S141,Bacillus velezensis SQR9,98.3039,
