OrthoANI values calculated from the OAT software.  Please cite Lee et al. 2015.

Genome 1,Genome 2,OrthoANI value (%)
Bacillus amyloliquefaciens GKT04,Bacillus cereus FORC_047,66.5365,
Bacillus amyloliquefaciens GKT04,Bacillus haynesii P19,72.5844,
Bacillus amyloliquefaciens GKT04,Bacillus inaquosorum A65.1,77.4505,
Bacillus amyloliquefaciens GKT04,Bacillus paralicheniformis Bac84,72.618,
Bacillus amyloliquefaciens GKT04,Bacillus sp RZ2MS9,66.4566,
Bacillus amyloliquefaciens GKT04,Bacillus tequilensis EA-CB0015,77.4142,
Bacillus amyloliquefaciens GKT04,Bacillus velezensis JS25R,98.2857,
Bacillus amyloliquefaciens GKT04,Bacillus xiamenensis VV3,70.2974,
Bacillus cereus FORC_047,Bacillus haynesii P19,66.505,
Bacillus cereus FORC_047,Bacillus inaquosorum A65.1,67.0485,
Bacillus cereus FORC_047,Bacillus paralicheniformis Bac84,66.4112,
Bacillus cereus FORC_047,Bacillus sp RZ2MS9,96.437,
Bacillus cereus FORC_047,Bacillus tequilensis EA-CB0015,67.1007,
Bacillus cereus FORC_047,Bacillus velezensis JS25R,66.4188,
Bacillus cereus FORC_047,Bacillus xiamenensis VV3,67.8699,
Bacillus haynesii P19,Bacillus inaquosorum A65.1,72.8657,
Bacillus haynesii P19,Bacillus paralicheniformis Bac84,95.2841,
Bacillus haynesii P19,Bacillus sp RZ2MS9,66.4762,
Bacillus haynesii P19,Bacillus tequilensis EA-CB0015,72.7486,
Bacillus haynesii P19,Bacillus velezensis JS25R,72.521,
Bacillus haynesii P19,Bacillus xiamenensis VV3,70.3726,
Bacillus inaquosorum A65.1,Bacillus paralicheniformis Bac84,72.8955,
Bacillus inaquosorum A65.1,Bacillus sp RZ2MS9,67.3153,
Bacillus inaquosorum A65.1,Bacillus tequilensis EA-CB0015,92.799,
Bacillus inaquosorum A65.1,Bacillus velezensis JS25R,77.4645,
Bacillus inaquosorum A65.1,Bacillus xiamenensis VV3,71.0231,
Bacillus paralicheniformis Bac84,Bacillus sp RZ2MS9,66.4703,
Bacillus paralicheniformis Bac84,Bacillus tequilensis EA-CB0015,72.697,
Bacillus paralicheniformis Bac84,Bacillus velezensis JS25R,72.5167,
Bacillus paralicheniformis Bac84,Bacillus xiamenensis VV3,70.2742,
Bacillus sp RZ2MS9,Bacillus tequilensis EA-CB0015,67.2265,
Bacillus sp RZ2MS9,Bacillus velezensis JS25R,66.5346,
Bacillus sp RZ2MS9,Bacillus xiamenensis VV3,67.6549,
Bacillus tequilensis EA-CB0015,Bacillus velezensis JS25R,77.3878,
Bacillus tequilensis EA-CB0015,Bacillus xiamenensis VV3,71.083,
Bacillus velezensis JS25R,Bacillus xiamenensis VV3,70.5579,
